sku,grade,size,quantity
ER1590A,SI-GH,,BANGALORE=1
ER1591A,SI-GH,,BANGALORE=1
PD1580A,SI-GH,,BANGALORE=1
PD1581A,SI-GH,,BANGALORE=1
PD1583A,SI-GH,,BANGALORE=1
PD1586A,SI-GH,,BANGALORE=1
ER1598A,SI-GH,,BANGALORE=1
PD1694A,SI-GH,,BANGALORE=1
PD1703A,SI-GH,,BANGALORE=1
PD1705A,SI-GH,,BANGALORE=2
ER0242A,SI-GH,,BANGALORE=1
ER0243A,SI-GH,,BANGALORE=1
ER0262A,SI-GH,,BANGALORE=1
PD0521C,SI-GH,,BLR1=1
PD0704A,SI-GH,,BANGALORE=1
PD1701A,SI-GH,,BLR1=1
ER0147B,SI-GH,,BLR1=1
PD1521A,SI-GH,,BANGALORE=1
RG0049A,SI-GH,8,BANGALORE=1
RG0049A,VVS-EF,6,BANGALORE=1
ER0574A,SI-GH,,BANGALORE=1
PD1697A,VVS-EF,,BANGALORE=1
NP0003A,VVS-EF,,BLR1=1
NP0009A,SI-GH,,BLR1=1
